,Unnamed: 0,5_angelo,ERCZO ID_angelo,Original Sample Vial Label_angelo,Date Collected,Time Collected_angelo,Site_angelo,Location_angelo,Sample Type_angelo,Sample Type II_angelo,Tree Tag_angelo,Tree tag_angelo,Tree tag 2_angelo,Jasper's tree label_angelo,More text info 1_angelo,More text info 2_angelo,needs attention_angelo,Species (common)_angelo,Species (scientific)_angelo,Well water level (m)_angelo,Depth (m)_angelo,Depth (cm)_angelo,Depth (ft)_angelo,Gravimetric moisture content (g/g)_angelo,Collected by_angelo,Notes_angelo,Exclude?_angelo,dD Instrument_angelo,dO Instrument_angelo,HD run ID_angelo,dD_angelo,GB run ID_angelo,dO_angelo,Sample Vial Location_angelo,VMS Sleeve_angelo,VMS Port_angelo,Adjacent well groundwater depth at time of sampling (m)_angelo,Energetic State_angelo,Date collection started_angelo,Time collection started_angelo,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_angelo","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_angelo",FLAG_angelo,datetime_angelo,5_conger,ERCZO ID_conger,Original Sample Vial Label_conger,Time Collected_conger,Site_conger,Location_conger,Sample Type_conger,Sample Type II_conger,Tree Tag_conger,Tree tag_conger,Tree tag 2_conger,Jasper's tree label_conger,More text info 1_conger,More text info 2_conger,needs attention_conger,Species (common)_conger,Species (scientific)_conger,Well water level (m)_conger,Depth (m)_conger,Depth (cm)_conger,Depth (ft)_conger,Gravimetric moisture content (g/g)_conger,Collected by_conger,Notes_conger,Exclude?_conger,dD Instrument_conger,dO Instrument_conger,HD run ID_conger,dD_conger,GB run ID_conger,dO_conger,Sample Vial Location_conger,VMS Sleeve_conger,VMS Port_conger,Adjacent well groundwater depth at time of sampling (m)_conger,Energetic State_conger,Date collection started_conger,Time collection started_conger,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_conger","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_conger",FLAG_conger,datetime_conger,average_time_delta,average_datetime,average_dD,average_dO,cumRain,cumWYRain,cumSept_1_WYRain,waterYear,Sept_1_waterYear,previousRain,runningWeightedAvg_dD,runningWeightedAvg_dO,Unnamed: 0_angelo,Extraction Method_angelo,Unnamed: 0_conger,Extraction Method_conger
445,146,3314.0,3315.0,A 20190121 A408-2 1115,1/21/19,11:15,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-72.3,GB723,-10.08,"Box 14, Bag 159",,,,,,,,,0.0,2019-01-21 11:15:00,3305.0,3306.0,C 20190121 C408-1 1125,11:25,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-71.3,GB723,-10.96,"Box 14, Bag 159",,,,,,,,,0.0,2019-01-21 11:25:00,-1 days +23:55:00,2019-01-21 11:10:00,-71.8,-10.52,19357.373599997434,458.4954000000001,464.3628000000001,2019.0,2019.0,19.557999999960884,-52.86789906103744,-8.381552230047562,,,,
446,145,3313.0,3314.0,A 20190207 A409-1 1330,2/7/19,13:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-78.9,GB723,-11.47,"Box 14, Bag 159",,,,,,,,,0.0,2019-02-07 13:30:00,3306.0,3307.0,C 20190207 C409-2 1340,13:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-79.2,GB723,-11.56,"Box 14, Bag 159",,,,,,,,,0.0,2019-02-07 13:40:00,-1 days +23:55:00,2019-02-07 13:25:00,-79.05000000000001,-11.515,19442.86999999733,543.9918,549.8592000000001,2019.0,2019.0,85.49639999989813,-56.8538308457745,-8.858584577114886,,,,
447,143,3309.0,3310.0,A A20190210 A410-1 1230 (snow),2/10/19,12:30,Angelo Reserve,Angelo Meadow,Water,Snow,,,,,,,,,,,,,,,,,,,,HD553,-46.8,GB723,-8.58,"Box 14, Bag 159",,,,,,,,,0.0,2019-02-10 12:30:00,3310.0,3311.0,C 20190210 C410-1 1240 snow,12:40,Angelo Reserve,Conger Road,Water,Snow,,,,,,,,,,,,,,,,,,,,HD553,-42.9,GB723,-7.73,"Box 14, Bag 159",,,,,,,,,0.0,2019-02-10 12:40:00,-1 days +23:55:00,2019-02-10 12:25:00,-44.85,-8.155000000000001,19485.33879999725,586.4606000000001,592.3280000000001,2019.0,2019.0,42.4687999999187,-56.00989824237196,-8.809118871415823,,,,
448,155,3330.0,3331.0,A 20190214 A412-1 1050,2/14/19,10:50,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-50.7,GB723,-6.54,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-14 10:50:00,3325.0,3326.0,C 20190214 C411-2 1440,14:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-97.6,GB723,-13.8,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-14 14:40:00,-1 days +22:05:00,2019-02-14 08:55:00,-74.15,-10.17,19628.112199997227,729.234,735.1014000000001,2019.0,2019.0,142.7733999999764,-59.47775907220925,-9.069279835391525,,,,
449,153,3328.0,3329.0,A 20190215 A413-2 1430 snow,2/15/19,14:30,Angelo Reserve,Angelo Meadow,Water,Snow,,,,,,,,,,,,,,,,,,,,HD553,-44.6,GB723,-8.65,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-15 14:30:00,3333.0,3334.0,C 20190215 C413-1 1440,14:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-39.5,GB723,-7.58,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-15 14:40:00,-1 days +23:55:00,2019-02-15 14:25:00,-42.05,-8.115,19701.31499999715,802.4368000000001,808.3042000000002,2019.0,2019.0,73.20279999992272,-57.9220272572456,-8.984093696763738,,,,
450,152,3327.0,3328.0,A 20190217 A414-2 1350 snow,2/17/19,13:50,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-60.8,GB723,-10.02,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-17 13:50:00,3323.0,3324.0,C 20190217 C414-1 1400 snow,14:00,Angelo Reserve,Conger Road,Water,Snow,,,,,,,,,,,,,,,,,,,,HD553,-56.2,GB723,-9.25,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-17 14:00:00,-1 days +23:55:00,2019-02-17 13:45:00,-58.5,-9.635,19742.386799997068,843.5086000000001,849.3760000000001,2019.0,2019.0,41.07179999991786,-57.94959441921342,-9.01513951979282,,,,
451,151,3324.0,3325.0,A 20190226 A415-1 0815,2/26/19,8:15,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-41.8,GB723,-7.35,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-26 08:15:00,3332.0,3333.0,C 20190226 C415-2 0825,8:25,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-40.7,GB723,-7.1,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-26 08:25:00,-1 days +23:55:00,2019-02-26 08:10:00,-41.25,-7.225,19939.643199996983,1040.765,1046.6324000000002,2019.0,2019.0,197.25639999991472,-54.83715681098477,-8.681496832101608,,,,
452,154,3329.0,3330.0,A 20190227 A415-2 1145,2/27/19,11:45,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-73.3,GB723,-10.38,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-27 11:45:00,3326.0,3327.0,C 20190227 A415-1 1155,11:55,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-77.6,GB723,-10.92,"Box 15, Bag 183",,,,,,,,,0.0,2019-02-27 11:55:00,-1 days +23:55:00,2019-02-27 11:40:00,-75.44999999999999,-10.65,20091.63679999695,1192.7586,1198.6260000000002,2019.0,2019.0,151.99359999996886,-57.42565789474078,-8.928695752539598,,,,
453,147,3315.0,3316.0,A 20190302 A417-2 1420,3/2/19,14:20,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-90.8,GB723,-12.36,"Box 14, Bag 159",,,,,,,,,0.0,2019-03-02 14:20:00,3322.0,3323.0,C 20190302 C417-2 1440,14:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-83.2,GB723,-10.71,"Box 14, Bag 159",,,,,,,,,0.0,2019-03-02 14:40:00,-1 days +23:50:00,2019-03-02 14:10:00,-87.0,-11.535,20116.22399999692,1217.3458,1223.2132,2019.0,2019.0,24.587199999965375,-58.01446832579537,-8.980585972850996,,,,
454,150,3320.0,3321.0,A 20190303 A418-2 1140,3/3/19,11:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-81.3,GB723,-11.23,"Box 14, Bag 159",,,,,,,,,0.0,2019-03-03 11:40:00,3319.0,3320.0,C 20190303 C418-2 1150,11:50,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-81.3,GB723,-11.22,"Box 14, Bag 159",,,,,,,,,0.0,2019-03-03 11:50:00,-1 days +23:55:00,2019-03-03 11:35:00,-81.3,-11.225,20126.0029999969,1227.1248,1232.9922,2019.0,2019.0,9.77899999998408,-58.19740740741074,-8.998218855219156,,,,
455,149,3317.0,3318.0,A 20190306 A419-1 1520,3/6/19,15:20,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-69.0,GB723,-9.89,"Box 14, Bag 159",,,,,,,,,0.0,2019-03-06 15:20:00,3321.0,3322.0,C 20190306 C419-2 1530,15:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,,,HD553,-68.1,GB723,-9.67,"Box 14, Bag 159",,,,,,,,,0.0,2019-03-06 15:30:00,-1 days +23:55:00,2019-03-06 15:15:00,-68.55,-9.78,20172.66279999686,1273.7846000000002,1279.652,2019.0,2019.0,46.65979999995761,-58.57146257031906,-9.0264658156645,,,,
456,715,7310.0,4720.0,C20190324 C421-2 1000,3/24/19,10:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-40.5,GB747,-6.47,,,,,,,,,,,2019-03-24 10:00:00,7309.0,4719.0,C20190324 C421-1 1000,10:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-40.4,GB747,-6.21,,,,,,,,,,,2019-03-24 10:00:00,0 days 00:00:00,2019-03-24 10:00:00,-40.45,-6.34,20267.09999999677,1368.2218000000005,1374.0892,2019.0,2019.0,94.43719999991664,-57.33657258064819,-8.843396169355117,,,,
457,718,7311.0,4721.0,A20190325 A422-1 1000,3/25/19,10:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-67.3,GB747,-9.82,,,,,,,,,,,2019-03-25 10:00:00,7307.0,4717.0,C20190325 C422-1 1010,10:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-60.8,GB747,-8.63,,,,,,,,,,,2019-03-25 10:10:00,-1 days +23:55:00,2019-03-25 09:55:00,-64.05,-9.225,20307.054199996783,1408.1760000000002,1414.0434000000002,2019.0,2019.0,39.95420000001104,-57.52470115618578,-8.854089751127068,,,,
458,730,7323.0,4733.0,A20190327 A423-1 1600,3/27/19,10:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-49.6,GB747,-7.6,,,,,,,,,,,2019-03-27 10:00:00,7325.0,4735.0,C20190327 C423-1 1610,16:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-42.0,GB747,-7.09,,,,,,,,,,,2019-03-27 16:10:00,-1 days +20:55:00,2019-03-27 06:55:00,-45.8,-7.345,20332.75899999676,1433.8808,1439.7482000000002,2019.0,2019.0,25.70479999997042,-57.31706448508498,-8.827364773821268,,,,
459,726,7321.0,4731.0,A20190328 A424-1 1515,3/28/19,15:15,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-59.3,GB747,-9.6,,,,,,,,,,,2019-03-28 15:15:00,7303.0,4713.0,C20190328 C424-2 1525,15:25,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-56.7,GB747,-9.06,,,,,,,,,,,2019-03-28 15:25:00,-1 days +23:55:00,2019-03-28 15:10:00,-58.0,-9.33,20379.41879999674,1480.5406000000005,1486.408,2019.0,2019.0,46.65979999998308,-57.33833457665359,-8.84301939574814,,,,
460,711,7305.0,4715.0,A20190329 A425-1 1000,3/29/19,10:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-41.5,GB747,-6.84,,,,,,,,,,,2019-03-29 10:00:00,7319.0,4729.0,C20190329 C425-1 1010,10:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-38.9,GB747,-6.76,,,,,,,,,,,2019-03-29 10:10:00,-1 days +23:55:00,2019-03-29 09:55:00,-40.2,-6.8,20393.109399996723,1494.2312000000002,1500.0986000000005,2019.0,2019.0,13.690599999983531,-57.18313620403195,-8.824518573276949,,,,
461,738,7331.0,4741.0,A20190403 A426-1 1100,4/3/19,11:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-36.2,GB747,-5.43,,,,,,,,,,,2019-04-03 11:00:00,7287.0,4697.0,C20190403 C426-1 1110,11:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-34.1,GB747,-5.21,,,,,,,,,,,2019-04-03 11:10:00,-1 days +23:55:00,2019-04-03 10:55:00,-35.150000000000006,-5.32,20401.770799996702,1502.8926,1508.7600000000002,2019.0,2019.0,8.661399999982677,-57.05762587284412,-8.804555310547904,,,,
462,734,7327.0,4737.0,A20190405 A427-1 1150,4/5/19,11:50,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-61.7,GB747,-9.05,,,,,,,,,,,2019-04-05 11:50:00,7329.0,4739.0,C20190405 C427-1 1200,12:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-57.3,GB747,-8.64,,,,,,,,,,,2019-04-05 12:00:00,-1 days +23:55:00,2019-04-05 11:45:00,-59.5,-8.845,20429.71079999668,1530.8326000000002,1536.7000000000005,2019.0,2019.0,27.939999999973224,-57.10169613858132,-8.805285095633652,,,,
463,742,7333.0,4743.0,A20190409 A428-1 1400,4/9/19,14:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-18.8,GB747,-3.98,,,,,,,,,,,2019-04-09 14:00:00,7289.0,4699.0,C20190409 C428-1 1410,14:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-14.8,GB747,-3.76,,,,,,,,,,,2019-04-09 14:10:00,-1 days +23:55:00,2019-04-09 13:55:00,-16.8,-3.87,20523.30979999661,1624.4316,1630.2990000000002,2019.0,2019.0,93.59899999992922,-54.80442402586643,-8.523964607793367,,,,
464,679,7267.0,4677.0,A20190411 A430-1 1200,4/11/19,12:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-20.5,GB746,-3.74,,,,,,,,,,,2019-04-11 12:00:00,7269.0,4679.0,C20190411 C430-1 1210,12:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-22.5,GB746,-3.74,,,,,,,,,,,2019-04-11 12:10:00,-1 days +23:55:00,2019-04-11 11:55:00,-21.5,-3.74,20523.30979999661,1624.4316,1630.2990000000002,2019.0,2019.0,0.0,-54.80442402586643,-8.523964607793367,,,,
465,683,7273.0,4683.0,A20190416 A429-1 1200,4/16/19,12:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-22.9,GB746,-3.77,,,,,,,,,,,2019-04-16 12:00:00,7271.0,4681.0,C20190416 C429-1 1210,12:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-19.3,GB746,-3.85,,,,,,,,,,,2019-04-16 12:10:00,-1 days +23:55:00,2019-04-16 11:55:00,-21.1,-3.81,20539.51499999659,1640.6368000000002,1646.5042000000003,2019.0,2019.0,16.205199999982142,-54.47504633530203,-8.477897219882342,,,,
466,722,7315.0,4725.0,A2019042 A420-1 1450,4/21/19,14:50,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-81.9,GB747,-11.48,,,,,,,,,,,2019-04-21 14:50:00,7317.0,4727.0,C20190421 C420-1 1500,15:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-81.8,GB747,-11.63,,,,,,,,,,,2019-04-21 15:00:00,-1 days +23:55:00,2019-04-21 14:45:00,-81.85,-11.555,20539.51499999659,1640.6368000000002,1646.5042000000003,2019.0,2019.0,0.0,-54.47504633530203,-8.47789721988234,,,,
467,703,7291.0,4701.0,A20190516 A431-1 1500,5/16/19,15:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-111.1,GB747,-14.77,,,,,,,,,,,2019-05-16 15:00:00,7293.0,4703.0,C20190516 C431-1 1510,15:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-117.4,GB747,-15.26,,,,,,,,,,,2019-05-16 15:10:00,-1 days +23:55:00,2019-05-16 14:55:00,-114.25,-15.015,20682.008999996564,1783.1308,1788.9982000000002,2019.0,2019.0,142.4939999999733,-59.20510473235608,-8.995185415050985,,,,
468,707,7299.0,4709.0,A20190517 A432-1 1550,5/17/19,15:50,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-67.2,GB747,-9.09,,,,,,,,,,,2019-05-17 15:50:00,7301.0,4711.0,C20190517 C432-1 1600,16:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-66.0,GB747,-8.91,,,,,,,,,,,2019-05-17 16:00:00,-1 days +23:55:00,2019-05-17 15:45:00,-66.6,-9.0,20720.845599996555,1821.9674,1827.8348000000003,2019.0,2019.0,38.83659999999145,-59.36122417983528,-8.995287059538821,,,,
469,699,7285.0,4695.0,A20190518 A432-1 1320,5/18/19,13:20,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-87.4,GB746,-11.93,,,,,,,,,,,2019-05-18 13:20:00,7295.0,4705.0,C20190518 C433-1 1340,13:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-81.0,GB747,-11.23,,,,,,,,,,,2019-05-18 13:40:00,-1 days +23:50:00,2019-05-18 13:10:00,-84.2,-11.58,20740.124199996542,1841.2460000000003,1847.1134,2019.0,2019.0,19.278599999990547,-59.61883360890364,-9.02209379227471,,,,
470,691,7281.0,4691.0,A20190522 A434-1 1240,5/22/19,12:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-38.2,GB746,-5.75,,,,,,,,,,,2019-05-22 12:40:00,7275.0,4685.0,C20190522 C434-1 1230,12:30,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-35.0,GB746,-5.47,,,,,,,,,,,2019-05-22 12:30:00,0 days 00:05:00,2019-05-22 12:45:00,-36.6,-5.609999999999999,20834.002599996475,1935.1244,1940.9918,2019.0,2019.0,93.87839999992866,-58.51219058521048,-8.858055515811085,,,,
471,693,7282.0,4692.0,A20190522 A434-2 1240,9/15/19,12:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-37.5,GB746,-5.9,,,,,,,,,,,2019-09-15 12:40:00,7279.0,4689.0,C20190915 C435-1 1000,10:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-35.6,GB746,-5.2,,,,,,,,,,,2019-09-15 10:00:00,0 days 01:20:00,2019-09-15 14:00:00,-36.55,-5.550000000000001,20835.561399996477,1936.6832,0.0,2019.0,2020.0,1.5587999999988824,-58.49467284563968,-8.855416905842423,,,,
472,687,7277.0,4687.0,A20190924 A436-1 0830,9/24/19,8:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-26.5,GB746,-4.64,,,,,,,,,,,2019-09-24 08:30:00,7297.0,4707.0,C20190924 C436-1 0840,8:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-22.8,GB747,-3.86,,,,,,,,,,,2019-09-24 08:40:00,-1 days +23:55:00,2019-09-24 08:25:00,-24.65,-4.25,20854.56139999648,1955.6832,19.0,2019.0,2020.0,19.00000000000728,-58.16879561365495,-8.811073132148511,,,,
473,866,7625.0,5035.0,A 20190930 A432-1 0800,9/30/19,8:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-43.8,756,-8.09,,,,,,,,,,,2019-09-30 08:00:00,7629.0,5039.0,C 20190930 C437-1 0810,8:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-37.0,756,-7.7,,,,,,,,,,,2019-09-30 08:10:00,-1 days +23:55:00,2019-09-30 07:55:00,-40.4,-7.895,20871.96139999648,1973.0832000000005,36.4,2019.0,2020.0,17.400000000001455,-58.013483757910265,-8.803066004302295,,,,
474,1493,,,,10/20/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-20 10:20:00,8999.0,6409.0,C20191022 C438-1 1020,10:20,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,613,-9.4,780,-3.3,,,,,,,,,,,2019-10-20 10:20:00,0 days 00:00:00,2019-10-20 10:20:00,-9.4,-3.3,20886.76139999648,14.8,51.2,2020.0,2020.0,14.799999999995634,-9.4,-3.3,,,,
475,858,7623.0,5033.0,A 20191022 A438-1 1010,10/22/19,10:10,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-15.2,756,-3.16,,,,,,,,,,,2019-10-22 10:10:00,7595.0,5005.0,C 20191022 C438-1 1020,10:20,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-10.0,756,-3.28,,,,,,,,,,,2019-10-22 10:20:00,-1 days +23:55:00,2019-10-22 10:05:00,-12.6,-3.22,20886.76139999648,14.8,51.2,2020.0,2020.0,0.0,-9.4,-3.3,,,,
476,778,7603.0,5013.0,A 20191204 A439-1 1030,12/4/19,10:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-81.1,756,-11.93,,,,,,,,,,,2019-12-04 10:30:00,7597.0,5007.0,C 20191204 C439-1 1040,10:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-81.1,756,-12.2,,,,,,,,,,,2019-12-04 10:40:00,-1 days +23:55:00,2019-12-04 10:25:00,-81.1,-12.065,20984.161399996497,112.2,148.6,2020.0,2020.0,97.40000000001965,-71.64224598930889,-10.908832442068237,,,,
477,842,7621.0,5031.0,A 20191208 A440-1 1300,12/8/19,13:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-50.0,756,-7.4,,,,,,,,,,,2019-12-08 13:00:00,7587.0,4997.0,C 20191208 C440-1 1310,13:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-42.2,756,-7.26,,,,,,,,,,,2019-12-08 13:10:00,-1 days +23:55:00,2019-12-08 12:55:00,-46.1,-7.33,21122.961399996508,251.0,287.40000000000003,2020.0,2020.0,138.8000000000102,-57.517689243030105,-8.929780876494302,,,,
478,762,7599.0,5009.0,A 20191212 A441-1 +T 1305,12/12/19,13:05,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-65.3,756,-9.32,,,,,,,,,,,2019-12-12 13:05:00,7589.0,4999.0,C 20191212 C441-1 1315,13:15,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-61.7,756,-9.01,,,,,,,,,,,2019-12-12 13:15:00,-1 days +23:55:00,2019-12-12 13:00:00,-63.5,-9.165,21154.161399996523,282.2,318.6,2020.0,2020.0,31.20000000001528,-58.17909284195825,-8.955786676116487,,,,
479,794,7609.0,5019.0,A A20191214 A442-1 T,12/14/19,14:55,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-33.1,756,-5.69,,,,,,,,,,,2019-12-14 14:55:00,7601.0,5011.0,C 20191214 C442-1-T 1140,11:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-31.2,756,-5.47,,,,,,,,,,,2019-12-14 11:40:00,0 days 01:37:30,2019-12-14 16:32:30,-32.15,-5.58,21200.96139999652,329.0,365.4,2020.0,2020.0,46.799999999995634,-54.47647416413638,-8.475583586626458,,,,
480,882,7627.0,5037.0,A 20191218 A443-1 T 0800,12/18/19,8:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-57.8,756,-8.99,,,,,,,,,,,2019-12-18 08:00:00,7619.0,5029.0,C 20191218 C443-1 T 0810,8:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-45.1,756,-7.74,,,,,,,,,,,2019-12-18 08:10:00,-1 days +23:55:00,2019-12-18 07:55:00,-51.45,-8.365,21212.96139999652,341.0,377.4,2020.0,2020.0,12.000000000003638,-54.36997067448933,-8.471692082111744,,,,
481,810,7613.0,5023.0,A 20191220 A444-1 1200,12/20/19,12:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-29.4,756,-5.23,,,,,,,,,,,2019-12-20 12:00:00,7591.0,5001.0,C 20191220 C444-1 1210,12:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-28.0,756,-5.2,,,,,,,,,,,2019-12-20 12:10:00,-1 days +23:55:00,2019-12-20 11:55:00,-28.7,-5.215,21248.56139999653,376.6,413.0,2020.0,2020.0,35.60000000000946,-51.94338821030467,-8.163836962294447,,,,
