,total count_angelo,ERCZO ID_angelo,Original Sample Vial Label_angelo,Date Collected,Time Collected_angelo,Site_angelo,Location_angelo,Sample Type_angelo,Sample Type II_angelo,Tree Tag_angelo,Tree tag_angelo,Tree tag 2_angelo,Jasper's tree label_angelo,More text info 1_angelo,More text info 2_angelo,needs attention_angelo,Species (common)_angelo,Species (scientific)_angelo,Well water level (m)_angelo,Depth (m)_angelo,Depth (cm)_angelo,Depth (ft)_angelo,Gravimetric moisture content (g/g)_angelo,Collected by_angelo,Notes_angelo,Exclude?_angelo,dD Instrument_angelo,dO Instrument_angelo,HD run ID_angelo,dD_angelo,GB run ID_angelo,dO_angelo,Sample Vial Location_angelo,VMS Sleeve_angelo,VMS Port_angelo,Adjacent well groundwater depth at time of sampling (m)_angelo,Energetic State_angelo,Date collection started_angelo,Time collection started_angelo,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_angelo","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_angelo",FLAG_angelo,datetime_angelo,total count_conger,ERCZO ID_conger,Original Sample Vial Label_conger,Time Collected_conger,Site_conger,Location_conger,Sample Type_conger,Sample Type II_conger,Tree Tag_conger,Tree tag_conger,Tree tag 2_conger,Jasper's tree label_conger,More text info 1_conger,More text info 2_conger,needs attention_conger,Species (common)_conger,Species (scientific)_conger,Well water level (m)_conger,Depth (m)_conger,Depth (cm)_conger,Depth (ft)_conger,Gravimetric moisture content (g/g)_conger,Collected by_conger,Notes_conger,Exclude?_conger,dD Instrument_conger,dO Instrument_conger,HD run ID_conger,dD_conger,GB run ID_conger,dO_conger,Sample Vial Location_conger,VMS Sleeve_conger,VMS Port_conger,Adjacent well groundwater depth at time of sampling (m)_conger,Energetic State_conger,Date collection started_conger,Time collection started_conger,"(obsolete, miscalculated) Gravimetric moisture content (g/g)_conger","(obsolete, miscalculated) Gravimetric moisture content (g/g).1_conger",FLAG_conger,datetime_conger,average_time_delta,average_datetime,average_dD,average_dO,cumRain,cumWYRain,cumSept_1_WYRain,waterYear,Sept_1_waterYear,previousRain,runningWeightedAvg_dD,runningWeightedAvg_dO
699,7282.0,4692,A20190522 A434-2 1240,9/15/2019,12:40,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-37.5,GB746,-5.9,,,,,,,,,,,2019-09-15 12:40:00,7279.0,4689,C20190915 C435-1 1000,10:00,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-35.6,GB746,-5.2,,,,,,,,,,,2019-09-15 10:00:00,0 days 01:20:00,2019-09-15 14:00:00,-36.55,-5.550000000000001,20835.561399996473,1936.6832000000002,0.0,2019.0,2020.0,1.5587999999988824,-36.55,-5.550000000000001
693,7277.0,4687,A20190924 A436-1 0830,9/24/2019,8:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,578,-26.5,GB746,-4.64,,,,,,,,,,,2019-09-24 08:30:00,7297.0,4707,C20190924 C436-1 0840,8:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,579,-22.8,GB747,-3.86,,,,,,,,,,,2019-09-24 08:40:00,-1 days +23:55:00,2019-09-24 08:25:00,-24.65,-4.25,20854.56139999648,1955.6832000000002,19.0,2019.0,2020.0,19.000000000007276,-25.552276397454182,-4.34856800980592
872,7625.0,5035,A 20190930 A432-1 0800,9/30/2019,8:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-43.8,756,-8.09,,,,,,,,,,,2019-09-30 08:00:00,7629.0,5039,C 20190930 C437-1 0810,8:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-37.0,756,-7.7,,,,,,,,,,,2019-09-30 08:10:00,-1 days +23:55:00,2019-09-30 07:55:00,-40.4,-7.895,20871.961399996482,1973.0832000000003,36.4,2019.0,2020.0,17.400000000001455,-32.358350105903,-5.974223105050495
1541,,,,10/20/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-20 10:20:00,8999.0,6409,C20191022 C438-1 1020,10:20,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IRMS,IMRS,613,-9.4,780,-3.3,,,,,,,,,,,2019-10-20 10:20:00,0 days 00:00:00,2019-10-20 10:20:00,-9.4,-3.3,20886.761399996478,14.8,51.2,2020.0,2020.0,14.799999999995634,-25.918029598855014,-5.224044898671024
864,7623.0,5033,A 20191022 A438-1 1010,10/22/2019,10:10,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-15.2,756,-3.16,,,,,,,,,,,2019-10-22 10:10:00,7595.0,5005,C 20191022 C438-1 1020,10:20,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-10.0,756,-3.28,,,,,,,,,,,2019-10-22 10:20:00,-1 days +23:55:00,2019-10-22 10:05:00,-12.6,-3.2199999999999998,20886.761399996478,14.8,51.2,2020.0,2020.0,0.0,-25.918029598855014,-5.224044898671024
784,7603.0,5013,A 20191204 A439-1 1030,12/4/2019,10:30,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-81.1,756,-11.93,,,,,,,,,,,2019-12-04 10:30:00,7597.0,5007,C 20191204 C439-1 1040,10:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-81.1,756,-12.2,,,,,,,,,,,2019-12-04 10:40:00,-1 days +23:55:00,2019-12-04 10:25:00,-81.1,-12.065,20984.161399996497,112.2,148.6,2020.0,2020.0,97.40000000001965,-61.7116288888852,-9.661407390043324
848,7621.0,5031,A 20191208 A440-1 1300,12/8/2019,13:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-50.0,756,-7.4,,,,,,,,,,,2019-12-08 13:00:00,7587.0,4997,C 20191208 C440-1 1310,13:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-42.2,756,-7.26,,,,,,,,,,,2019-12-08 13:10:00,-1 days +23:55:00,2019-12-08 12:55:00,-46.1,-7.33,21122.961399996508,251.0,287.40000000000003,2020.0,2020.0,138.8000000000102,-54.212656406381896,-8.541526819740568
768,7599.0,5009,A 20191212 A441-1 +T 1305,12/12/2019,13:05,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-65.3,756,-9.32,,,,,,,,,,,2019-12-12 13:05:00,7589.0,4999,C 20191212 C441-1 1315,13:15,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-61.7,756,-9.01,,,,,,,,,,,2019-12-12 13:15:00,-1 days +23:55:00,2019-12-12 13:00:00,-63.5,-9.165,21154.161399996523,282.2,318.6,2020.0,2020.0,31.20000000001528,-55.11772326733023,-8.602285303418359
800,7609.0,5019,A A20191214 A442-1 T,12/14/2019,14:55,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-33.1,756,-5.69,,,,,,,,,,,2019-12-14 14:55:00,7601.0,5011,C 20191214 C442-1-T 1140,11:40,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-31.2,756,-5.47,,,,,,,,,,,2019-12-14 11:40:00,0 days 01:37:30,2019-12-14 16:32:30,-32.15,-5.58,21200.96139999652,329.0,365.40000000000003,2020.0,2020.0,46.799999999995634,-52.18854034840084,-8.216838893085784
888,7627.0,5037,A 20191218 A443-1 T 0800,12/18/2019,8:00,Angelo Reserve,Angelo Meadow,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-57.8,756,-8.99,,,,,,,,,,,2019-12-18 08:00:00,7619.0,5029,C 20191218 C443-1 T 0810,8:10,Angelo Reserve,Conger Road,Water,Rain,,,,,,,,,,,,,,,,,,IMRS,IMRS,588,-45.1,756,-7.74,,,,,,,,,,,2019-12-18 08:10:00,-1 days +23:55:00,2019-12-18 07:55:00,-51.45,-8.365,21212.961399996522,341.0,377.40000000000003,2020.0,2020.0,12.000000000003638,-52.16515394285804,-8.221530519940659
